Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
BLMC11,4T2021,2.098,-120,0,0,2.158,60
BLMC11,4T2022,108,-148,0,0,208,47
BLMC11,4T2023,589,-212,0,0,626,176
BLMG11,1T2021,4.484,-491,0,0,4.961,15
BLMG11,1T2022,-7.004,-1.237,0,5.420,-11.206,20
BLMG11,1T2023,-3.988,-1.013,0,2.613,-5.588,-0
BLMG11,1T2024,1.977,-755,0,2.861,-140,10
BLMG11,2T2022,-15.289,-2.089,0,5.464,-18.667,4
BLMG11,2T2023,-11.495,-1.520,0,655,-10.796,165
BLMG11,2T2024,-31.400,-614,0,2.909,-33.296,-399
BLMG11,3T2022,8.813,-2.354,0,4.824,6.333,11
BLMG11,3T2023,7.689,-714,0,2.616,5.698,89
BLMG11,4T2022,22.518,-2.033,0,3.107,21.053,391
BLMG11,4T2023,-21.623,-596,0,-47.610,26.524,59
BLMR11,1T2021,207,-655,0,0,620,242
BLMR11,1T2022,538,-592,0,0,972,158
BLMR11,1T2023,-6.602,4.049,0,0,-10.791,140
BLMR11,1T2024,33.090,-752,0,0,33.369,474
BLMR11,2T2021,-5.809,-881,0,0,-5.052,124
BLMR11,2T2022,-362,-451,0,0,-102,191
BLMR11,2T2023,23.841,-573,0,0,24.158,256
BLMR11,3T2021,-2.379,-651,0,0,-1.818,90
BLMR11,3T2023,-2.180,-581,0,0,-1.645,46
BLMR11,4T2021,538,-592,0,0,972,158
BLMR11,4T2022,-12.676,-483,0,0,-12.445,252
BLMR11,4T2023,-2.817,-609,0,0,-2.601,394
BMLC11,1T2020,1.724,-270,0,1.978,0,16
BMLC11,1T2021,1.559,-252,0,1.803,0,8
BMLC11,1T2022,2.045,-281,0,2.270,0,56
BMLC11,1T2023,2.123,-437,0,2.492,0,67
BMLC11,1T2024,2.212,-294,0,2.115,0,391
BMLC11,2T2020,1.696,-206,0,1.890,0,12
BMLC11,2T2021,1.637,-267,0,1.889,0,15
BMLC11,2T2022,2.116,-158,0,2.205,0,69
BMLC11,2T2023,2.381,-595,0,2.771,0,206
BMLC11,2T2024,2.176,-273,0,2.141,0,308
BMLC11,3T2020,1.782,-212,0,1.987,0,7
BMLC11,3T2021,1.862,-257,0,2.092,0,26
BMLC11,3T2022,2.137,-358,0,2.420,0,74
BMLC11,3T2023,2.271,-290,0,2.093,0,468
BMLC11,4T2020,2.946,-222,0,3.158,0,10
BMLC11,4T2021,4.529,-287,0,4.774,0,43
BMLC11,4T2022,6.808,-295,0,7.013,0,90
BMLC11,4T2023,3.408,-307,0,3.287,0,428
BNFS11,1T2017,1.650,-280,0,1.833,0,96
BNFS11,1T2018,1.719,-209,0,1.875,0,53
BNFS11,1T2019,1.631,-469,0,2.047,0,53
BNFS11,1T2020,2.090,-128,0,2.185,0,34
BNFS11,1T2021,1.327,-1.174,0,2.486,0,15
BNFS11,1T2022,-2.926,818,0,-3.683,0,-61
BNFS11,1T2023,3.030,-590,0,3.489,0,131
BNFS11,1T2024,2.780,-432,0,3.128,0,84
BNFS11,2T2017,1.499,-546,0,1.964,0,82
BNFS11,2T2018,1.670,-289,0,1.906,0,53
BNFS11,2T2019,1.927,-200,0,2.074,54,0
BNFS11,2T2020,2.015,-233,0,2.223,0,25
BNFS11,2T2021,3.277,625,0,2.625,0,27
BNFS11,2T2022,-884,-1.218,0,219,0,115
BNFS11,2T2023,3.269,-330,0,3.500,0,100
BNFS11,2T2024,2.911,-169,0,2.997,0,83
BNFS11,3T2017,1.733,-276,0,1.935,0,74
BNFS11,3T2018,1.797,-221,0,1.963,0,55
BNFS11,3T2019,1.823,-239,0,2.010,0,52
BNFS11,3T2020,1.989,-230,0,2.203,0,17
BNFS11,3T2021,2.333,-457,0,2.746,0,44
BNFS11,3T2022,3.114,-318,0,3.300,0,132
BNFS11,3T2023,3.131,-315,0,3.341,0,105
BNFS11,4T2017,1.641,-377,0,1.958,0,60
BNFS11,4T2018,4.409,-390,0,4.745,0,53
BNFS11,4T2019,4.783,-1.092,0,5.832,0,43
BNFS11,4T2021,-1.342,-288,0,-1.123,0,69
BNFS11,4T2022,-1.317,368,0,-1.813,0,128
BPFF11,1T2017,17.083,-573,0,0,17.315,341
BPFF11,1T2018,9.371,-1.337,0,0,10.601,106
BPFF11,1T2019,12.688,-459,0,0,12.789,357
BPFF11,1T2020,-57.479,-1.348,0,0,-56.314,183
BPFF11,1T2021,44.722,-1.150,0,0,45.814,57
