Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
RMAI11,2020,"0,57%","1,23%","0,00%",0%,17,"0,43","261,42 M","244,4 K",1.155,"1.069,73",17%,"113,64 M","22,51 K"
RMAI11,2021,"0,50%","1,23%","12,28%",0%,6,"0,04","261,42 M","244,4 K",1.155,"1.069,73",12%,"10,97 M","8,14 K"
RMAI11,2022,"0,49%","0,47%","8,42%",0%,21,"0,56","263,58 M","2,4 M",1.185,"107,86",12%,"146,60 M","34,27 K"
RMAI11,2023,"0,53%","0,35%","6,59%",0%,35,"0,71","247,52 M","2,4 M",1.185,"101,28",12%,"175,95 M","76,16 K"
RMAI11,Hoje,"0,52%","0,27%","6,07%",0%,97,"0,73","249,52 M","2,4 M",1.112,"102,10",12%,"182,06 M","33,70 K"
RNDP11,1T2017,"0,30%","8,31%","3,23%",0%,6,"1,01","112,00 M","107,5 K",1.194,"1.042,02",0%,"113,39 M","40,75 K"
RNDP11,1T2018,"-91,60%","4,03%","14,14%",0%,7,"0,89","112,02 M","107,5 K",1.200,"1.042,26",0%,"100,06 M","58,63 K"
RNDP11,1T2019,"0,34%","7,73%","9,81%",0%,3,"0,89","115,78 M","107,5 K",1.065,"1.077,21",0%,"102,64 M","32,68 K"
RNDP11,1T2020,"0,32%","8,01%","9,08%",0%,5,"0,82","116,81 M","107,5 K",908,"1.086,77",0%,"96,20 M","82,72 K"
RNDP11,1T2021,"0,98%","20,82%","6,79%",0%,10,"0,88","100,96 M","107,5 K",840,"939,35",0%,"89,21 M","32,78 K"
RNDP11,1T2022,"0,18%","43,06%","16,52%",0%,6,"0,57","72,56 M","107,5 K",966,"675,09",0%,"41,39 M","44,52 K"
RNDP11,1T2023,"0,34%","10,56%","23,62%",0%,18,"0,62","21,28 M","107,5 K",1.136,"197,95",0%,"13,11 M","9,54 K"
RNDP11,1T2024,"0,65%","5,91%","12,09%",0%,30,"1,45","8,46 M","107,5 K",1.321,"78,76",0%,"12,25 M","18,78 K"
RNDP11,2T2017,"0,27%","16,42%","7,46%",0%,6,"0,99","111,68 M","107,5 K",1.211,"1.039,06",0%,"110,71 M","44,87 K"
