Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
ABCP11,9/2019,9.366,917.048,0,6,12.442,0,894.848,0,1.381,7.467,909.580,6.009,12.436,77,0,894.848,0,0,9.758,0
ABCP11,9/2020,15.290,1.046.410,0,6,9.491,0,1.021.481,0,1.321,4.427,1.041.983,3.019,9.485,87,0,1.021.481,0,0,15.438,0
ABCP11,9/2021,15.644,1.088.913,0,10,14.461,0,1.056.263,0,1.496,7.416,1.081.497,5.837,14.451,83,0,1.056.263,0,0,18.189,0
ABCP11,9/2022,15.800,1.130.526,0,10,19.975,0,1.093.309,0,1.641,8.783,1.121.743,7.049,19.965,93,0,1.093.309,0,0,17.243,0
ABCP11,9/2023,5.323,435.848,0,6,7.005,0,420.946,0,369,3.382,432.465,2.916,7.000,97,0,420.946,0,0,7.897,0
AFHI11,1/2023,0,290.735,264.293,0,25.126,1.299,0,0,48,4.184,286.551,3.896,25.126,239,0,265.592,0,0,17,0
AFHI11,1/2024,0,353.075,320.788,0,31.725,562,0,0,33,312,352.763,0,31.725,279,0,321.350,0,0,0,0
AFHI11,10/2023,0,321.038,296.138,0,24.347,545,0,0,18,288,320.750,0,24.347,270,0,296.683,0,0,8,0
AFHI11,11/2023,0,322.647,306.208,0,11.890,4.545,0,0,21,287,322.360,0,11.890,266,0,310.753,0,0,4,0
AFHI11,12/2022,0,290.105,282.602,0,6.181,1.301,0,0,61,3.332,286.772,3.033,6.181,237,0,283.903,0,0,21,0
AFHI11,12/2023,0,324.680,308.740,4.113,15.373,566,0,0,25,3.638,321.042,3.343,11.260,270,0,309.306,0,0,1,0
AFHI11,2/2023,0,290.348,266.775,0,22.298,1.250,0,0,50,4.294,286.054,4.007,22.298,237,0,268.025,0,0,25,0
AFHI11,2/2024,0,386.408,330.638,0,55.435,324,0,0,41,353,386.056,0,55.435,312,0,330.962,0,0,11,0
AFHI11,3/2021,0,172.024,88.848,0,83.136,0,0,0,25,322,171.703,165,83.136,131,0,88.848,0,0,40,0
AFHI11,3/2023,0,291.072,267.682,0,22.315,1.054,0,0,52,4.424,286.647,4.137,22.315,235,0,268.737,0,0,20,0
AFHI11,3/2024,0,385.811,354.567,0,30.906,328,0,0,46,372,385.439,0,30.906,326,0,354.895,0,0,10,0
